party,q_seats,r_seats,total_seats
al_badil,0,3,3
amal_wa_3amal,0,1,1
coalition_karama,1,19,20
ennahdha,28,44,72
harakt_el_chaab,1,11,12
nidaa_tounes,0,1,1
outsider_1,0,6,6
parti_rahma,0,3,3
partie_front_populaire,0,1,1
pdl,3,17,20
qalb_tounes,17,32,49
tahya_tounes,0,7,7
tayar,3,17,20
upr,0,2,2
